depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path,min_distance,max_distance,levenshtein_distance_2,min_number_delivery_points,max_number_delivery_points,missing_in_min,missing_in_max,sequence_similarity
0521,669,20220614,053523,183-0,081535,175-175,0521_669-20220614/0521_669-20220614-053523-183-0.json,0521_669-20220614/0521_669-20220614-081535-175-175.json,0521_669-20220614/0521_669-20220614-053523-183-0.txt,0521_669-20220614/0521_669-20220614-081535-175-175.txt,40.073,40.765,152,185,177,9.0,17.0,0.2681564245810056
0521,669,20220615,053113,167-0,075355,152-152,0521_669-20220615/0521_669-20220615-053113-167-0.json,0521_669-20220615/0521_669-20220615-075355-152-152.json,0521_669-20220615/0521_669-20220615-053113-167-0.txt,0521_669-20220615/0521_669-20220615-075355-152-152.txt,37.176,37.655,133,169,154,1.0,16.0,0.36363636363636365
0521,669,20220616,052417,144-0,074541,137-137,0521_669-20220616/0521_669-20220616-052417-144-0.json,0521_669-20220616/0521_669-20220616-074541-137-137.json,0521_669-20220616/0521_669-20220616-052417-144-0.txt,0521_669-20220616/0521_669-20220616-074541-137-137.txt,40.131,34.972,131,146,139,7.0,14.0,0.25622775800711745
0521,669,20220617,052514,127-0,070435,120-120,0521_669-20220617/0521_669-20220617-052514-127-0.json,0521_669-20220617/0521_669-20220617-070435-120-120.json,0521_669-20220617/0521_669-20220617-052514-127-0.txt,0521_669-20220617/0521_669-20220617-070435-120-120.txt,34.149,35.079,116,129,122,7.0,14.0,0.3076923076923077
0521,669,20220618,072119,15-0,072119,15-0,0521_669-20220618/0521_669-20220618-072119-15-0.json,0521_669-20220618/0521_669-20220618-072119-15-0.json,0521_669-20220618/0521_669-20220618-072119-15-0.txt,0521_669-20220618/0521_669-20220618-072119-15-0.txt,19.229,19.229,0,17,17,0.0,0.0,1.0
0521,669,20220620,052828,126-0,071252,118-118,0521_669-20220620/0521_669-20220620-052828-126-0.json,0521_669-20220620/0521_669-20220620-071252-118-118.json,0521_669-20220620/0521_669-20220620-052828-126-0.txt,0521_669-20220620/0521_669-20220620-071252-118-118.txt,35.238,35.27,91,128,120,7.0,15.0,0.3442622950819672
0521,669,20220621,055907,206-0,091948,203-203,0521_669-20220621/0521_669-20220621-055907-206-0.json,0521_669-20220621/0521_669-20220621-091948-203-203.json,0521_669-20220621/0521_669-20220621-055907-206-0.txt,0521_669-20220621/0521_669-20220621-091948-203-203.txt,44.799,42.223,185,208,205,9.0,12.0,0.05378973105134474
0521,669,20220622,052601,170-0,074930,156-156,0521_669-20220622/0521_669-20220622-052601-170-0.json,0521_669-20220622/0521_669-20220622-074930-156-156.json,0521_669-20220622/0521_669-20220622-052601-170-0.txt,0521_669-20220622/0521_669-20220622-074930-156-156.txt,36.711,40.798,144,172,158,6.0,20.0,0.22085889570552147
0521,670,20220531,093056,120-0,111106,114-114,0521_670-20220531/0521_670-20220531-093056-120-0.json,0521_670-20220531/0521_670-20220531-111106-114-114.json,0521_670-20220531/0521_670-20220531-093056-120-0.txt,0521_670-20220531/0521_670-20220531-111106-114-114.txt,23.128,22.883,32,122,116,0.0,6.0,0.811965811965812
0521,670,20220601,093804,116-0,104632,113-113,0521_670-20220601/0521_670-20220601-093804-116-0.json,0521_670-20220601/0521_670-20220601-104632-113-113.json,0521_670-20220601/0521_670-20220601-093804-116-0.txt,0521_670-20220601/0521_670-20220601-104632-113-113.txt,23.125,24.092,21,118,115,0.0,3.0,0.8820960698689956
0521,670,20220602,090007,105-0,101415,99-99,0521_670-20220602/0521_670-20220602-090007-105-0.json,0521_670-20220602/0521_670-20220602-101415-99-99.json,0521_670-20220602/0521_670-20220602-090007-105-0.txt,0521_670-20220602/0521_670-20220602-101415-99-99.txt,22.394,22.904,26,107,101,2.0,8.0,0.8235294117647058
0521,670,20220603,092108,96-0,104110,93-93,0521_670-20220603/0521_670-20220603-092108-96-0.json,0521_670-20220603/0521_670-20220603-104110-93-93.json,0521_670-20220603/0521_670-20220603-092108-96-0.txt,0521_670-20220603/0521_670-20220603-104110-93-93.txt,21.695,22.858,27,98,95,1.0,4.0,0.8253968253968254
0521,670,20220607,085615,112-0,101750,107-107,0521_670-20220607/0521_670-20220607-085615-112-0.json,0521_670-20220607/0521_670-20220607-101750-107-107.json,0521_670-20220607/0521_670-20220607-085615-112-0.txt,0521_670-20220607/0521_670-20220607-101750-107-107.txt,21.549,22.54,22,113,109,6.0,10.0,0.7981651376146789
0521,670,20220608,085153,109-0,100839,103-103,0521_670-20220608/0521_670-20220608-085153-109-0.json,0521_670-20220608/0521_670-20220608-100839-103-103.json,0521_670-20220608/0521_670-20220608-085153-109-0.txt,0521_670-20220608/0521_670-20220608-100839-103-103.txt,22.328,23.235,69,111,105,1.0,7.0,0.37735849056603776
0521,670,20220609,093116,111-0,104538,110-110,0521_670-20220609/0521_670-20220609-093116-111-0.json,0521_670-20220609/0521_670-20220609-104538-110-110.json,0521_670-20220609/0521_670-20220609-093116-111-0.txt,0521_670-20220609/0521_670-20220609-104538-110-110.txt,22.579,23.179,34,113,112,2.0,3.0,0.7963800904977375
0521,670,20220610,094927,105-105,110542,103-103,0521_670-20220610/0521_670-20220610-094927-105-105.json,0521_670-20220610/0521_670-20220610-110542-103-103.json,0521_670-20220610/0521_670-20220610-094927-105-105.txt,0521_670-20220610/0521_670-20220610-110542-103-103.txt,22.631,22.462,2,107,105,0.0,2.0,0.9903846153846154
0521,670,20220611,064730,26-0,071150,26-26,0521_670-20220611/0521_670-20220611-064730-26-0.json,0521_670-20220611/0521_670-20220611-071150-26-26.json,0521_670-20220611/0521_670-20220611-064730-26-0.txt,0521_670-20220611/0521_670-20220611-071150-26-26.txt,17.565,18.723,26,28,28,0.0,0.0,0.19230769230769232
