depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path
0521,889,20220620,052815,100-0,090803,64-64,0521_889-20220620/0521_889-20220620-052815-100-0.json,0521_889-20220620/0521_889-20220620-090803-64-64.json,0521_889-20220620/0521_889-20220620-052815-100-0.txt,0521_889-20220620/0521_889-20220620-090803-64-64.txt
0521,889,20220621,063408,162-0,075656,86-86,0521_889-20220621/0521_889-20220621-063408-162-0.json,0521_889-20220621/0521_889-20220621-075656-86-86.json,0521_889-20220621/0521_889-20220621-063408-162-0.txt,0521_889-20220621/0521_889-20220621-075656-86-86.txt
0521,889,20220622,054649,127-0,071106,132-132,0521_889-20220622/0521_889-20220622-054649-127-0.json,0521_889-20220622/0521_889-20220622-071106-132-132.json,0521_889-20220622/0521_889-20220622-054649-127-0.txt,0521_889-20220622/0521_889-20220622-071106-132-132.txt
0521,890,20220530,062649,103-102,063710,101-101,0521_890-20220530/0521_890-20220530-062649-103-102.json,0521_890-20220530/0521_890-20220530-063710-101-101.json,0521_890-20220530/0521_890-20220530-062649-103-102.txt,0521_890-20220530/0521_890-20220530-063710-101-101.txt
0521,890,20220531,052042,147-0,070113,138-138,0521_890-20220531/0521_890-20220531-052042-147-0.json,0521_890-20220531/0521_890-20220531-070113-138-138.json,0521_890-20220531/0521_890-20220531-052042-147-0.txt,0521_890-20220531/0521_890-20220531-070113-138-138.txt
0521,890,20220601,051029,133-0,065712,138-138,0521_890-20220601/0521_890-20220601-051029-133-0.json,0521_890-20220601/0521_890-20220601-065712-138-138.json,0521_890-20220601/0521_890-20220601-051029-133-0.txt,0521_890-20220601/0521_890-20220601-065712-138-138.txt
0521,890,20220602,051806,123-0,065005,120-120,0521_890-20220602/0521_890-20220602-051806-123-0.json,0521_890-20220602/0521_890-20220602-065005-120-120.json,0521_890-20220602/0521_890-20220602-051806-123-0.txt,0521_890-20220602/0521_890-20220602-065005-120-120.txt
0521,890,20220603,051402,100-0,062918,102-102,0521_890-20220603/0521_890-20220603-051402-100-0.json,0521_890-20220603/0521_890-20220603-062918-102-102.json,0521_890-20220603/0521_890-20220603-051402-100-0.txt,0521_890-20220603/0521_890-20220603-062918-102-102.txt
0521,890,20220607,051147,80-0,061616,77-77,0521_890-20220607/0521_890-20220607-051147-80-0.json,0521_890-20220607/0521_890-20220607-061616-77-77.json,0521_890-20220607/0521_890-20220607-051147-80-0.txt,0521_890-20220607/0521_890-20220607-061616-77-77.txt
0521,890,20220608,053234,121-0,070214,122-122,0521_890-20220608/0521_890-20220608-053234-121-0.json,0521_890-20220608/0521_890-20220608-070214-122-122.json,0521_890-20220608/0521_890-20220608-053234-121-0.txt,0521_890-20220608/0521_890-20220608-070214-122-122.txt
0521,890,20220609,052909,144-0,071817,145-145,0521_890-20220609/0521_890-20220609-052909-144-0.json,0521_890-20220609/0521_890-20220609-071817-145-145.json,0521_890-20220609/0521_890-20220609-052909-144-0.txt,0521_890-20220609/0521_890-20220609-071817-145-145.txt
0521,890,20220610,051858,195-0,082407,109-109,0521_890-20220610/0521_890-20220610-051858-195-0.json,0521_890-20220610/0521_890-20220610-082407-109-109.json,0521_890-20220610/0521_890-20220610-051858-195-0.txt,0521_890-20220610/0521_890-20220610-082407-109-109.txt
0521,890,20220613,052503,101-0,063803,98-98,0521_890-20220613/0521_890-20220613-052503-101-0.json,0521_890-20220613/0521_890-20220613-063803-98-98.json,0521_890-20220613/0521_890-20220613-052503-101-0.txt,0521_890-20220613/0521_890-20220613-063803-98-98.txt
0521,890,20220614,051448,138-0,072134,137-137,0521_890-20220614/0521_890-20220614-051448-138-0.json,0521_890-20220614/0521_890-20220614-072134-137-137.json,0521_890-20220614/0521_890-20220614-051448-138-0.txt,0521_890-20220614/0521_890-20220614-072134-137-137.txt
0521,890,20220615,053407,103-0,065127,101-101,0521_890-20220615/0521_890-20220615-053407-103-0.json,0521_890-20220615/0521_890-20220615-065127-101-101.json,0521_890-20220615/0521_890-20220615-053407-103-0.txt,0521_890-20220615/0521_890-20220615-065127-101-101.txt
0521,890,20220616,052548,118-0,065819,118-117,0521_890-20220616/0521_890-20220616-052548-118-0.json,0521_890-20220616/0521_890-20220616-065819-118-117.json,0521_890-20220616/0521_890-20220616-052548-118-0.txt,0521_890-20220616/0521_890-20220616-065819-118-117.txt
0521,890,20220617,051011,104-0,062734,104-104,0521_890-20220617/0521_890-20220617-051011-104-0.json,0521_890-20220617/0521_890-20220617-062734-104-104.json,0521_890-20220617/0521_890-20220617-051011-104-0.txt,0521_890-20220617/0521_890-20220617-062734-104-104.txt
0521,890,20220618,052849,28-0,062204,26-26,0521_890-20220618/0521_890-20220618-052849-28-0.json,0521_890-20220618/0521_890-20220618-062204-26-26.json,0521_890-20220618/0521_890-20220618-052849-28-0.txt,0521_890-20220618/0521_890-20220618-062204-26-26.txt
0521,890,20220620,052023,73-0,063641,68-68,0521_890-20220620/0521_890-20220620-052023-73-0.json,0521_890-20220620/0521_890-20220620-063641-68-68.json,0521_890-20220620/0521_890-20220620-052023-73-0.txt,0521_890-20220620/0521_890-20220620-063641-68-68.txt
0521,890,20220621,074800,131-0,090257,128-128,0521_890-20220621/0521_890-20220621-074800-131-0.json,0521_890-20220621/0521_890-20220621-090257-128-128.json,0521_890-20220621/0521_890-20220621-074800-131-0.txt,0521_890-20220621/0521_890-20220621-090257-128-128.txt
0521,890,20220622,051433,92-0,063942,88-88,0521_890-20220622/0521_890-20220622-051433-92-0.json,0521_890-20220622/0521_890-20220622-063942-88-88.json,0521_890-20220622/0521_890-20220622-051433-92-0.txt,0521_890-20220622/0521_890-20220622-063942-88-88.txt
0521,891,20220530,061846,133-0,074602,128-128,0521_891-20220530/0521_891-20220530-061846-133-0.json,0521_891-20220530/0521_891-20220530-074602-128-128.json,0521_891-20220530/0521_891-20220530-061846-133-0.txt,0521_891-20220530/0521_891-20220530-074602-128-128.txt
0521,891,20220531,051715,172-0,082404,112-112,0521_891-20220531/0521_891-20220531-051715-172-0.json,0521_891-20220531/0521_891-20220531-082404-112-112.json,0521_891-20220531/0521_891-20220531-051715-172-0.txt,0521_891-20220531/0521_891-20220531-082404-112-112.txt
0521,891,20220601,051618,140-0,065256,147-147,0521_891-20220601/0521_891-20220601-051618-140-0.json,0521_891-20220601/0521_891-20220601-065256-147-147.json,0521_891-20220601/0521_891-20220601-051618-140-0.txt,0521_891-20220601/0521_891-20220601-065256-147-147.txt
